Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1614398;-0.11027777777777778;43.147222222222226;"43°8'50.000""N 0°6'37.000""W";65065;LE BOIS;TER CHEM;65100;BARLEST;Pylône autostable;41.9;HIVORY
1614473;-0.030833333333333334;43.08444444444444;"43°5'4.000""N 0°1'51.000""W";65286;LE REPLAT;CHEM DU PIC DU JER;65100;LOURDES;Bâtiment;9.3;Société Privée
1614477;-0.0475;43.10583333333334;"43°6'21.000""N 0°2'51.000""W";65286;"";RTE DE BARTRES;65100;LOURDES;Pylône autostable;25.0;HIVORY
1614497;0.0525;43.228611111111114;"43°13'43.000""N 0°3'9.000""E";65440;"";2 R VINCENT SCOTTO TOUR SOLAZUR 2;65000;TARBES;Immeuble;58.3;Société HLM
1614503;0.058055555555555555;43.264722222222225;"43°15'53.000""N 0°3'29.000""E";65100;"";"ZI DE BORDERES SUR L'ECHEZ CHEM DE GAYAN";65320;BORDERES SUR L ECHEZ;Pylône tubulaire;50.1;HIVORY
1614576;1.7019444444444445;43.403055555555554;"43°24'11.000""N 1°42'7.000""E";31582;"";DISTRICT BORDE BLANCHE ZER VILLEFRANCHE;31290;VILLEFRANCHE DE LAURAGAIS;Bâtiment;7.0;"Sociétés d'Autoroutes"
1615258;0.7569444444444444;43.115833333333335;"43°6'57.000""N 0°45'25.000""E";31175;"";ECHANGEUR SAINT GAUDENS PÉAGE SORTIE 18 A64;31800;ESTANCARBON;Bâtiment;12.0;"Sociétés d'Autoroutes"
1615355;0.10805555555555556;43.26583333333333;"43°15'57.000""N 0°6'29.000""E";65340;"";"ROUTE D'AUCH CCAL LECLERC";65800;ORLEIX;Pylône autostable;31.6;ATC FRANCE
1616133;4.059722222222222;44.11638888888889;"44°6'59.000""N 4°3'35.000""E";30270;LA MONTAGNE ST GERMAIN;SAINT GERMAIN;30140;SAINT JEAN DU PIN;Pylône autostable;40.0;SFR
1616361;0.0875;43.17305555555556;"43°10'23.000""N 0°5'15.000""E";65313;"";20 RUE DES PYRENEES;65360;MOMERES;"Château d'eau - réservoir";28.1;"Commune, communauté de commune"
1616803;3.0411111111111113;43.23777777777778;"43°14'16.000""N 3°2'28.000""E";11106;BLANQUE FOUGASSE;"";11110;COURSAN;Pylône autostable;28.0;HIVORY
1617199;3.2175;43.340833333333336;"43°20'27.000""N 3°13'3.000""E";34032;"";44 BIS ALLÉE PAUL RIQUET;34500;BEZIERS;Bâtiment;15.0;Titulaire programme Radio/TV
1617268;2.487222222222222;43.5775;"43°34'39.000""N 2°29'14.000""E";81031;BOSCAUT-LASFAILLADES;BOSCAUT;81260;BEZ;Pylône autostable;42.5;Conseil Départemental
1617272;2.384722222222222;43.57194444444445;"43°34'19.000""N 2°23'5.000""E";81034;"L'HERBOUS";"";81490;BOISSEZON;Pylône autostable;42.5;Conseil Départemental
1618046;2.5469444444444447;43.88916666666667;"43°53'21.000""N 2°32'49.000""E";81167;LE SOL;D. 167 MAIRIE DE MIOLLES;81250;MIOLLES;Bâtiment;4.0;ORANGE Services Fixes
1618337;1.4105555555555556;43.62861111111111;"43°37'43.000""N 1°24'38.000""E";31555;"";2 IMPASSE DANDINE;31000;TOULOUSE;Pylône tubulaire;28.8;TOTEM
1618731;3.000277777777778;43.181111111111115;"43°10'52.000""N 3°0'1.000""E";11262;"";BLD DU DOCTEUR LACROIX;11100;NARBONNE;Immeuble;23.0;"Copropriété, Syndic, SCI"
1618735;3.0102777777777776;43.18944444444445;"43°11'22.000""N 3°0'37.000""E";11262;"";14 R BÉRANGER;11100;NARBONNE;Immeuble;16.0;"Copropriété, Syndic, SCI"
1619323;3.0305555555555554;43.77972222222222;"43°46'47.000""N 3°1'50.000""E";12275;"";TAURIAC DE CAMARÈS LE BOURG;12360;TAURIAC DE CAMARES;Bâtiment;13.9;"Commune, communauté de commune"
1619346;3.1694444444444443;43.36055555555556;"43°21'38.000""N 3°10'10.000""E";34148;"";AV DE BÉZIERS ROND POINT DU PECHEUR;34370;MARAUSSAN;Pylône autostable;25.6;HIVORY
1619359;3.2047222222222222;43.354166666666664;"43°21'15.000""N 3°12'17.000""E";34032;"";CHEM DU PECH DES MOULINS R DU TERTRE;34500;BEZIERS;Mât;13.0;HIVORY
